AREA,SUB AREA,AGE GROUP,SEASON,WEEK,THRESHOLD,BASELINE,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
National,,All,2018-19,40,5.8,5.5,5.7,10,"2,946","52,213",> 100%
National,,All,2018-19,41,5.9,5.6,5.5,12,"2,849","51,612",> 100%
National,,All,2018-19,42,6,5.6,5.6,18,"2,960","52,775",> 100%
National,,All,2018-19,43,6.1,5.7,5.7,24,"3,043","53,552",> 100%
National,,All,2018-19,44,6.2,5.8,5.6,24,"2,964","53,077",> 100%
National,,All,2018-19,45,6.3,5.9,5.7,29,"2,951","52,717",> 100%
National,,All,2018-19,46,6.4,6,5.8,26,"3,071","53,763",> 100%
National,,All,2018-19,47,6.5,6.1,5.8,31,"3,101","53,840",> 100%
National,,All,2018-19,48,6.6,6.2,6,35,"3,198","53,987",> 100%
National,,All,2018-19,49,6.7,6.4,6.1,54,"3,257","54,472",> 100%
National,,All,2018-19,50,6.8,6.4,6.3,49,"3,402","54,534",> 100%
National,,All,2018-19,51,6.9,6.5,6.3,85,"3,336","54,729",> 100%
National,,All,2018-19,52,7,6.6,6.6,129,"3,437","53,774",> 100%
National,,All,2018-19,1,7,6.7,7,183,"3,531","53,279",> 100%
National,,All,2018-19,2,7.1,6.8,7.3,228,"3,547","51,944",> 100%
National,,All,2018-19,3,7.2,6.8,7.4,211,"3,624","52,002",> 100%
National,,All,2018-19,4,7.2,6.9,7.1,233,"3,369","50,536",> 100%
National,,All,2018-19,5,7.3,6.9,7.1,260,"3,271","49,392",> 100%
National,,All,2018-19,6,7.3,6.9,7.2,268,"3,033","45,994",96.7%
National,,All,2018-19,7,7.3,7,7.1,289,"2,487","38,918",81.8%
National,,All,2017-18,40,6.1,5.7,5.8,16,"3,022","52,110",> 100%
National,,All,2017-18,41,6.2,5.8,5.9,18,"3,001","51,578",> 100%
National,,All,2017-18,42,6.3,5.9,6.1,28,"3,156","52,228",> 100%
National,,All,2017-18,43,6.3,6,6.3,23,"3,279","52,548",> 100%
National,,All,2017-18,44,6.4,6.1,6.1,36,"3,214","53,679",> 100%
National,,All,2017-18,45,6.5,6.2,6.1,45,"3,178","53,258",> 100%
National,,All,2017-18,46,6.6,6.3,6.3,50,"3,315","53,771",> 100%
National,,All,2017-18,47,6.8,6.4,6,48,"3,201","54,120",> 100%
National,,All,2017-18,48,6.9,6.5,6.5,83,"3,492","54,760",> 100%
National,,All,2017-18,49,7,6.6,6.6,118,"3,527","55,595",> 100%
National,,All,2017-18,50,7,6.7,6.8,165,"3,757","57,370",> 100%
National,,All,2017-18,51,7.1,6.8,7.3,359,"3,983","59,505",> 100%
National,,All,2017-18,52,7.2,6.9,8.3,670,"4,417","61,090",> 100%
National,,All,2017-18,1,7.3,6.9,9.6,"1,163","5,158","66,120",> 100%
National,,All,2017-18,2,7.3,7,10.5,"1,537","5,582","67,485",> 100%
National,,All,2017-18,3,7.4,7.1,10.9,"1,626","5,402","64,636",> 100%
National,,All,2017-18,4,7.4,7.1,10.6,"1,448","5,177","62,758",> 100%
National,,All,2017-18,5,7.5,7.1,10.2,"1,359","4,874","60,958",> 100%
National,,All,2017-18,6,7.5,7.1,9.7,"1,240","4,683","61,096",> 100%
National,,All,2017-18,7,7.5,7.1,9.7,"1,178","4,595","59,765",> 100%
National,,All,2017-18,8,7.5,7.1,9.2,891,"4,424","57,775",> 100%
National,,All,2017-18,9,7.5,7.1,8.4,739,"4,042","56,669",> 100%
National,,All,2017-18,10,7.4,7.1,8,507,"4,062","57,082",> 100%
National,,All,2017-18,11,7.4,7,7.6,443,"3,855","56,310",> 100%
National,,All,2017-18,12,7.3,7,7.4,346,"3,787","55,748",> 100%
National,,All,2017-18,13,7.2,6.9,7.4,283,"3,778","54,898",> 100%
National,,All,2017-18,14,7.2,6.8,7.2,300,"3,694","55,274",> 100%
National,,All,2017-18,15,7.1,6.7,6.9,213,"3,592","55,198",> 100%
National,,All,2017-18,16,7,6.6,6.6,152,"3,425","54,009",> 100%
National,,All,2017-18,17,6.9,6.5,6.5,119,"3,391","53,687",> 100%
National,,All,2017-18,18,6.8,6.4,6.1,106,"3,191","53,680",> 100%
National,,All,2017-18,19,6.7,6.3,5.9,53,"3,026","52,055",> 100%
National,,All,2017-18,20,6.6,6.2,5.9,43,"2,945","50,561",> 100%
National,,All,2017-18,21,6.4,6.1,5.8,26,"2,944","50,850",> 100%
National,,All,2017-18,22,6.3,6,5.7,26,"2,901","50,988",> 100%
National,,All,2017-18,23,6.2,5.9,5.6,14,"2,897","51,948",> 100%
National,,All,2017-18,24,6.1,5.8,5.7,14,"2,935","51,335",> 100%
National,,All,2017-18,25,6,5.7,5.6,7,"2,859","50,990",> 100%
National,,All,2017-18,26,5.9,5.6,5.7,9,"2,862","50,802",> 100%
National,,All,2017-18,27,5.8,5.5,5.4,10,"2,763","51,623",> 100%
National,,All,2017-18,28,5.8,5.4,5.4,5,"2,776","51,117",> 100%
National,,All,2017-18,29,5.7,5.4,5.4,8,"2,700","50,545",> 100%
National,,All,2017-18,30,5.7,5.3,5.4,14,"2,691","50,208",> 100%
National,,All,2017-18,31,5.6,5.3,5.3,4,"2,657","50,560",> 100%
National,,All,2017-18,32,5.6,5.3,5.3,10,"2,665","50,883",> 100%
National,,All,2017-18,33,5.6,5.2,5.2,5,"2,609","50,197",> 100%
National,,All,2017-18,34,5.6,5.2,5.4,10,"2,701","50,381",> 100%
National,,All,2017-18,35,5.6,5.2,5.2,6,"2,622","50,513",> 100%
National,,All,2017-18,36,5.6,5.3,5.5,6,"2,735","50,215",> 100%
National,,All,2017-18,37,5.6,5.3,5.4,9,"2,748","50,998",> 100%
National,,All,2017-18,38,5.7,5.3,5.5,11,"2,809","51,469",> 100%
National,,All,2017-18,39,5.7,5.4,5.5,14,"2,798","50,834",> 100%
